(theta,phi,r)
(79.0,232.125,5.332571428571427)
(79.0,311.515625,2.7289375000000002)
(79.0,355.921875,3.3571818181818176)
(79.0,356.046875,3.1212857142857144)
(79.0,356.171875,2.7637499999999995)
(79.0,356.296875,2.5416666666666665)
(80.0,29.6875,2.259)
(80.0,29.8125,2.179444444444444)
(80.0,29.9375,2.1109999999999998)
(80.0,30.5625,2.087)
(80.0,73.671875,1.373)
(80.0,75.171875,1.511)
(80.0,75.421875,1.5166)
(80.0,75.546875,1.4749999999999999)
(80.0,75.671875,1.3815)
(80.0,77.546875,1.3790000000000002)
(80.0,108.59375,2.181)
(80.0,108.71875,2.138)
(80.0,108.96875,1.6798000000000002)
(80.0,109.09375,1.6443333333333332)
(80.0,109.34375,2.278)
(80.0,153.34375,2.5775)
(80.0,153.46875,2.5183333333333335)
(80.0,153.59375,2.151666666666667)
(80.0,153.71875,2.0093636363636365)
(80.0,153.84375,1.929)
(80.0,154.34375,1.945)
(80.0,186.953125,3.347)
(80.0,187.078125,3.17176923076923)
(80.0,187.203125,2.6450000000000005)
(80.0,187.328125,2.4884545454545455)
(80.0,231.625,5.779999999999999)
(80.0,231.75,5.247333333333334)
(80.0,311.03125,2.728125)
(80.0,355.953125,3.4004)
(80.0,356.078125,3.126111111111111)
(80.0,356.203125,2.698272727272727)
(80.0,356.328125,2.5389999999999997)
(81.0,30.1875,2.257)
(81.0,30.3125,2.1954444444444445)
(81.0,30.4375,2.141)
(81.0,31.0625,2.109)
(81.0,73.84375,1.4)
(81.0,75.21875,1.579)
(81.0,75.46875,1.499)
(81.0,75.59375,1.499857142857143)
(81.0,75.71875,1.4206666666666667)
(81.0,77.59375,1.365)
(81.0,77.71875,1.377)
(81.0,109.125,2.1794285714285713)
(81.0,109.25,2.143)
(81.0,109.5,1.6803333333333335)
(81.0,109.625,1.707)
(81.0,109.875,1.9855)
(81.0,153.625,2.6390000000000002)
(81.0,153.75,2.517857142857143)
(81.0,153.875,2.167857142857143)
(81.0,154.0,1.9845555555555556)
(81.0,154.125,1.9516666666666669)
(81.0,187.578125,3.315)
(81.0,187.703125,3.1504999999999996)
(81.0,187.828125,2.6746000000000003)
(81.0,187.953125,2.4985999999999997)
(81.0,232.046875,5.718999999999999)
(81.0,232.171875,5.159933333333334)
(81.0,311.546875,2.7288750000000004)
(81.0,356.0,3.3957272727272723)
(81.0,356.125,3.1151999999999997)
(81.0,356.25,2.68925)
(81.0,356.375,2.592333333333334)
(82.0,29.578125,2.294)
(82.0,29.703125,2.229909090909091)
(82.0,29.828125,2.159)
(82.0,73.328125,1.4016666666666666)
(82.0,75.078125,1.5103333333333333)
(82.0,75.203125,1.4352000000000003)
(82.0,77.078125,1.411)
(82.0,77.203125,1.384)
(82.0,108.453125,2.1861428571428574)
(82.0,108.578125,2.144)
(82.0,108.703125,1.701)
(82.0,108.828125,1.6676666666666666)
(82.0,108.953125,1.6920000000000002)
(82.0,109.203125,2.015)
(82.0,153.046875,2.5846666666666667)
(82.0,153.171875,2.385)
(82.0,153.296875,2.2315714285714283)
(82.0,153.421875,1.9994)
(82.0,153.546875,1.9590000000000003)
(82.0,186.828125,3.1775)
(82.0,186.953125,3.0963846153846153)
(82.0,187.078125,2.7247500000000002)
(82.0,187.203125,2.5195714285714286)
(82.0,231.5,5.026806451612903)
(82.0,231.625,4.723)
(82.0,310.90625,2.72825)
(82.0,355.5,3.4025000000000003)
(82.0,355.625,3.1606)
(82.0,355.75,2.738777777777778)
(82.0,355.875,2.607)
(83.0,28.65625,2.321)
(83.0,28.78125,2.248272727272727)
(83.0,29.53125,2.349)
(83.0,73.0625,1.419)
(83.0,74.6875,1.5070000000000001)
(83.0,74.8125,1.4885)
(83.0,74.9375,1.4294444444444447)
(83.0,76.9375,1.393)
(83.0,107.21875,2.255)
(83.0,107.34375,2.184076923076923)
(83.0,107.71875,1.7058)
(83.0,107.84375,1.681)
(83.0,108.09375,2.233)
(83.0,152.640625,2.622)
(83.0,152.765625,2.465)
(83.0,152.890625,2.2033076923076926)
(83.0,153.015625,2.017222222222222)
(83.0,153.140625,1.939)
(83.0,185.5,3.411)
(83.0,185.625,3.0648)
(83.0,185.75,2.7089999999999996)
(83.0,185.875,2.547285714285714)
(83.0,230.921875,4.910571428571429)
(83.0,231.046875,4.655)
(83.0,310.109375,2.7288750000000004)
(83.0,355.375,3.4226666666666663)
(83.0,355.5,3.189)
(83.0,355.625,2.7698888888888895)
(84.0,29.375,2.2663333333333333)
(84.0,29.5,2.2841428571428573)
(84.0,30.125,1.463)
(84.0,30.25,2.047)
(84.0,73.125,1.455)
(84.0,74.5,1.627)
(84.0,74.75,1.7069999999999999)
(84.0,74.875,1.4762)
(84.0,75.0,1.4625555555555558)
(84.0,77.0,1.391)
(84.0,108.34375,2.183909090909091)
(84.0,108.46875,2.156333333333333)
(84.0,108.71875,1.6840000000000002)
(84.0,108.84375,1.69)
(84.0,109.09375,2.0676666666666663)
(84.0,152.859375,2.531)
(84.0,152.984375,2.271)
(84.0,153.109375,2.217923076923077)
(84.0,153.234375,2.0178000000000003)
(84.0,153.359375,1.9446)
(84.0,186.71875,3.268)
(84.0,186.84375,3.113142857142857)
(84.0,186.96875,2.7123333333333335)
(84.0,187.09375,2.601)
(84.0,231.359375,4.891909090909091)
(84.0,231.484375,4.5516000000000005)
(84.0,310.71875,2.7290000000000005)
(84.0,355.34375,3.4655)
(84.0,355.46875,3.183666666666667)
(84.0,355.59375,2.8080000000000003)
(85.0,29.625,2.305444444444445)
(85.0,29.75,2.3223333333333334)
(85.0,30.5,2.237)
(85.0,73.203125,1.403)
(85.0,74.953125,1.4705555555555554)
(85.0,75.078125,1.599)
(85.0,77.078125,1.393)
(85.0,108.40625,2.217)
(85.0,108.53125,2.1805384615384615)
(85.0,108.65625,2.151)
(85.0,108.90625,1.7016666666666669)
(85.0,109.03125,1.685)
(85.0,109.28125,1.984)
(85.0,153.03125,2.617)
(85.0,153.15625,2.4130000000000003)
(85.0,153.28125,2.1836666666666673)
(85.0,153.40625,2.0160769230769233)
(85.0,153.53125,1.921)
(85.0,186.921875,3.311285714285714)
(85.0,187.046875,3.0435)
(85.0,187.171875,2.733363636363636)
(85.0,187.296875,2.607)
(85.0,231.59375,4.882124999999999)
(85.0,231.71875,4.511374999999999)
(85.0,310.984375,2.7286250000000005)
(85.0,355.328125,3.45375)
(85.0,355.453125,3.115)
(85.0,355.578125,2.827)
(86.0,29.453125,2.3814999999999995)
(86.0,29.578125,2.2786666666666666)
(86.0,74.8125,1.473)
(86.0,74.9375,1.4649999999999999)
(86.0,75.0625,1.5066666666666668)
(86.0,108.328125,2.1763999999999997)
(86.0,108.453125,2.162)
(86.0,108.703125,1.6843333333333332)
(86.0,109.078125,2.065)
(86.0,152.890625,2.643)
(86.0,153.015625,2.452)
(86.0,153.140625,2.193153846153846)
(86.0,153.265625,2.036714285714286)
(86.0,153.390625,1.952)
(86.0,186.75,3.5470000000000006)
(86.0,186.875,3.104857142857143)
(86.0,187.0,2.6932)
(86.0,187.125,2.6296666666666666)
(86.0,231.4375,4.7848823529411755)
(86.0,231.5625,4.4218)
(86.0,310.8125,2.7293750000000006)
(86.0,355.359375,3.4682499999999994)
(86.0,355.484375,3.1548181818181815)
(86.0,355.609375,2.8314)
(87.0,29.609375,2.445)
(87.0,29.734375,2.403181818181818)
(87.0,29.859375,2.264222222222222)
(87.0,30.609375,2.379)
(87.0,74.75,1.591)
(87.0,75.0,1.6323333333333334)
(87.0,75.125,1.475)
(87.0,75.25,1.481)
(87.0,77.25,1.377)
(87.0,108.640625,2.184)
(87.0,108.765625,2.154)
(87.0,109.015625,1.731)
(87.0,109.140625,1.6720000000000002)
(87.0,109.390625,1.8696666666666666)
(87.0,153.03125,2.393)
(87.0,153.15625,2.374)
(87.0,153.28125,2.178166666666667)
(87.0,153.40625,2.0371428571428574)
(87.0,153.53125,1.933)
(87.0,186.90625,3.191)
(87.0,187.03125,3.4933333333333327)
(87.0,187.15625,3.082166666666667)
(87.0,187.28125,2.808)
(87.0,231.546875,4.7895)
(87.0,231.671875,4.37575)
(87.0,310.984375,2.729062500000001)
(87.0,355.53125,3.5121250000000006)
(87.0,355.65625,3.161428571428572)
(87.0,355.78125,2.857)
(88.0,29.84375,2.529)
(88.0,29.96875,2.4065)
(88.0,30.09375,2.283857142857143)
(88.0,74.8125,1.683)
(88.0,75.0625,1.6555)
(88.0,75.1875,1.4893333333333334)
(88.0,75.3125,1.4516666666666669)
(88.0,108.828125,2.199)
(88.0,108.953125,2.1759999999999997)
(88.0,109.078125,2.135)
(88.0,109.328125,1.7240000000000002)
(88.0,109.703125,1.9713333333333332)
(88.0,153.1875,2.387)
(88.0,153.3125,2.483)
(88.0,153.4375,2.1895333333333338)
(88.0,153.5625,2.033307692307692)
(88.0,153.6875,1.989)
(88.0,187.390625,3.4285)
(88.0,187.515625,3.1074615384615383)
(88.0,187.640625,2.8200909090909088)
(88.0,231.734375,4.7581428571428575)
(88.0,231.859375,4.33652)
(88.0,311.046875,2.779)
(88.0,311.171875,2.726548387096773)
(88.0,355.421875,3.713)
(88.0,355.546875,3.5089999999999995)
(88.0,355.671875,3.1829999999999994)
(88.0,355.796875,2.893)
(89.0,29.671875,2.591)
(89.0,29.796875,2.4018)
(89.0,29.921875,2.315)
(89.0,30.671875,2.615)
(89.0,75.0625,1.581)
(89.0,75.1875,1.495)
(89.0,75.3125,1.5280000000000002)
(89.0,75.4375,1.5405555555555555)
(89.0,108.75,2.1796153846153845)
(89.0,108.875,2.151)
(89.0,109.125,1.733)
(89.0,109.5,1.81)
(89.0,153.5,2.3409999999999997)
(89.0,153.625,2.188625)
(89.0,153.75,2.039909090909091)
(89.0,153.875,2.008)
(89.0,187.015625,3.75)
(89.0,187.140625,3.476111111111111)
(89.0,187.265625,3.1066000000000003)
(89.0,187.390625,2.7693636363636362)
(89.0,231.84375,4.666666666666667)
(89.0,231.96875,4.275384615384615)
(89.0,311.171875,2.7292500000000004)
(89.0,355.703125,3.5153809523809527)
(89.0,355.828125,3.1430000000000002)
(90.0,30.109375,2.5829999999999997)
(90.0,30.234375,2.411260869565217)
(90.0,30.359375,2.327)
(90.0,31.109375,2.655)
(90.0,74.546875,2.363)
(90.0,75.046875,1.587)
(90.0,75.171875,1.571)
(90.0,75.296875,1.4924285714285712)
(90.0,75.421875,1.6926666666666668)
(90.0,109.234375,2.169363636363636)
(90.0,109.359375,2.175)
(90.0,109.609375,1.689)
(90.0,109.734375,1.683)
(90.0,109.984375,2.1353999999999997)
(90.0,153.453125,2.3609999999999998)
(90.0,153.578125,2.1915882352941174)
(90.0,153.703125,2.029461538461539)
(90.0,187.625,3.719)
(90.0,187.75,3.5211666666666663)
(90.0,187.875,3.1314)
(90.0,188.0,2.782777777777778)
(90.0,232.015625,4.659000000000001)
(90.0,232.140625,4.2531333333333325)
(90.0,311.5,2.73025)
(90.0,355.53125,3.805)
(90.0,355.65625,3.5193333333333334)
(90.0,355.78125,3.2215000000000003)
(91.0,29.65625,2.6334)
(91.0,29.78125,2.4439166666666674)
(91.0,29.90625,2.365)
(91.0,30.65625,2.183)
(91.0,74.71875,2.42675)
(91.0,74.96875,1.651)
(91.0,75.09375,1.725)
(91.0,75.21875,1.662)
(91.0,75.34375,1.658)
(91.0,75.46875,1.4809999999999999)
(91.0,75.59375,1.4878)
(91.0,108.65625,2.180230769230769)
(91.0,108.78125,2.145)
(91.0,109.40625,2.0466)
(91.0,153.578125,2.2046842105263162)
(91.0,153.703125,2.0463333333333336)
(91.0,153.828125,1.983)
(91.0,187.0625,3.474066666666667)
(91.0,187.1875,2.9964000000000004)
(91.0,187.3125,2.971285714285714)
(91.0,231.75,4.571)
(91.0,231.875,4.213451612903224)
(91.0,311.125,2.7285000000000004)
(91.0,355.8125,3.725)
(91.0,355.9375,3.5253333333333337)
(91.0,356.0625,3.158428571428572)
(92.0,29.640625,2.5814000000000004)
(92.0,29.765625,2.4641999999999995)
(92.0,29.890625,2.139)
(92.0,30.015625,2.191)
(92.0,74.1875,1.675)
(92.0,74.3125,2.4913333333333334)
(92.0,74.9375,1.8274999999999997)
(92.0,75.0625,1.5102499999999999)
(92.0,75.1875,1.475)
(92.0,108.640625,2.174333333333333)
(92.0,109.015625,1.7203333333333335)
(92.0,109.140625,1.701)
(92.0,109.390625,2.229)
(92.0,153.203125,2.269)
(92.0,153.328125,2.1972)
(92.0,153.453125,2.0444000000000004)
(92.0,153.578125,1.999)
(92.0,186.890625,3.937)
(92.0,187.015625,3.4970000000000003)
(92.0,187.140625,3.0429999999999997)
(92.0,187.265625,2.8513333333333333)
(92.0,231.734375,4.151999999999999)
(92.0,311.03125,2.7291875)
(92.0,355.265625,3.8265)
(92.0,355.390625,3.5554444444444444)
(92.0,355.515625,3.2634)
(93.0,56.703125,2.4347777777777773)
(93.0,56.953125,1.963)
(93.0,57.078125,1.985)
(93.0,57.578125,2.242)
(93.0,74.796875,1.979)
(93.0,75.046875,1.689)
(93.0,75.171875,1.5730000000000002)
(93.0,75.296875,1.5087777777777776)
(93.0,75.421875,2.027)
(93.0,135.59375,2.253)
(93.0,135.71875,2.1695714285714285)
(93.0,135.84375,2.0062499999999996)
(93.0,135.96875,2.023)
(93.0,153.6875,2.2035263157894738)
(93.0,153.8125,2.0455)
(93.0,153.9375,1.999)
(93.0,240.453125,4.77475)
(93.0,240.578125,4.21775)
(93.0,258.359375,4.7788)
(93.0,258.484375,4.293615384615385)
(93.0,258.609375,3.645888888888889)
(93.0,337.65625,3.449857142857143)
(93.0,337.78125,3.099307692307692)
(93.0,337.90625,2.8731999999999998)
(93.0,355.4375,3.8625999999999996)
(93.0,355.5625,3.5424285714285717)
(93.0,355.6875,3.3023333333333333)
(94.0,30.46875,2.6422727272727276)
(94.0,30.59375,2.5131176470588237)
(94.0,31.46875,2.434)
(94.0,74.9375,1.8981999999999999)
(94.0,75.0625,1.956)
(94.0,75.3125,1.628666666666667)
(94.0,75.4375,1.531)
(94.0,75.5625,1.6723333333333332)
(94.0,109.453125,2.367)
(94.0,109.578125,2.1800666666666664)
(94.0,109.703125,2.155)
(94.0,110.328125,2.332333333333333)
(94.0,153.765625,2.259)
(94.0,153.890625,2.1895)
(94.0,154.015625,2.0600666666666667)
(94.0,187.953125,3.873)
(94.0,188.078125,3.6013529411764704)
(94.0,188.203125,3.108166666666667)
(94.0,188.328125,2.951)
(94.0,232.484375,4.090130434782609)
(94.0,232.609375,3.8727777777777783)
(94.0,311.84375,2.730875)
(94.0,355.546875,3.9263333333333335)
(94.0,355.671875,3.5621)
(94.0,355.796875,3.355666666666666)
(95.0,30.0,2.6831000000000005)
(95.0,30.125,2.5977500000000004)
(95.0,30.25,2.177)
(95.0,30.375,2.145)
(95.0,74.9375,1.9883333333333333)
(95.0,75.0625,1.989)
(95.0,75.1875,1.595)
(95.0,75.3125,1.5396666666666665)
(95.0,75.4375,1.555)
(95.0,75.5625,1.6703333333333334)
(95.0,108.90625,2.327)
(95.0,109.03125,2.2028000000000003)
(95.0,109.15625,2.1615)
(95.0,109.78125,2.133)
(95.0,153.59375,2.229)
(95.0,153.71875,2.186571428571429)
(95.0,153.84375,2.055133333333333)
(95.0,187.34375,3.9939999999999998)
(95.0,187.46875,3.4953076923076924)
(95.0,187.59375,3.2226363636363633)
(95.0,266.140625,4.8149999999999995)
(95.0,266.265625,4.244666666666666)
(95.0,266.390625,3.580818181818182)
(95.0,266.515625,3.2435714285714283)
(95.0,311.4375,2.7303124999999997)
(95.0,355.6875,3.913222222222222)
(95.0,355.8125,3.552)
(95.0,355.9375,3.291)
(96.0,55.765625,2.5946666666666665)
(96.0,55.890625,2.595333333333333)
(96.0,56.140625,2.084)
(96.0,56.765625,2.3390000000000004)
(96.0,74.375,2.087666666666667)
(96.0,74.5,2.008)
(96.0,74.875,1.62575)
(96.0,75.0,1.513)
(96.0,75.125,1.481)
(96.0,134.71875,2.1616)
(96.0,134.84375,2.0268000000000006)
(96.0,134.96875,1.974)
(96.0,135.46875,2.175)
(96.0,137.46875,0.933)
(96.0,153.078125,2.239)
(96.0,153.203125,2.172666666666667)
(96.0,153.328125,2.0627333333333335)
(96.0,153.953125,2.195)
(96.0,265.8125,4.685)
(96.0,265.9375,4.1465555555555556)
(96.0,266.0625,3.5685384615384614)
(96.0,266.1875,3.219)
(96.0,310.859375,2.7300625000000003)
(96.0,345.0625,3.9235)
(96.0,345.1875,3.541857142857143)
(96.0,345.3125,3.096428571428572)
(96.0,355.234375,3.9298571428571423)
(96.0,355.359375,3.6018)
(96.0,355.484375,3.3089999999999997)
(97.0,56.59375,2.6499999999999995)
(97.0,56.84375,1.809)
(97.0,56.96875,1.819)
(97.0,57.09375,2.1449999999999996)
(97.0,57.59375,2.661)
(97.0,74.875,1.811)
(97.0,75.0,1.613)
(97.0,75.125,2.139)
(97.0,75.25,2.123)
(97.0,75.375,1.5265)
(97.0,75.5,1.5610000000000002)
(97.0,75.625,1.9876666666666667)
(97.0,135.6875,2.186166666666667)
(97.0,135.8125,2.033)
(97.0,135.9375,1.937)
(97.0,136.4375,2.155)
(97.0,138.4375,0.931)
(97.0,153.71875,2.265)
(97.0,153.84375,2.174692307692308)
(97.0,153.96875,2.06425)
(97.0,258.421875,4.625)
(97.0,258.546875,4.312238095238096)
(97.0,258.671875,3.60625)
(97.0,319.65625,2.8895714285714287)
(97.0,319.78125,2.74404)
(97.0,337.734375,3.4623333333333335)
(97.0,337.859375,3.0445238095238087)
(97.0,337.984375,2.859)
(97.0,338.984375,3.317)
(97.0,355.703125,4.008142857142857)
(97.0,355.828125,3.604375)
(97.0,355.953125,3.282)
(98.0,10.265625,5.937571428571428)
(98.0,10.390625,5.173000000000001)
(98.0,10.515625,4.1579999999999995)
(98.0,10.640625,3.811)
(98.0,10.765625,2.889)
(98.0,10.890625,3.5020000000000002)
(98.0,55.796875,2.6842222222222225)
(98.0,56.296875,1.8069999999999997)
(98.0,56.421875,1.865)
(98.0,74.734375,1.8465000000000003)
(98.0,74.859375,1.575)
(98.0,74.984375,1.5667142857142855)
(98.0,75.109375,1.546)
(98.0,134.671875,2.1726923076923077)
(98.0,134.796875,2.005571428571429)
(98.0,134.921875,1.9465000000000001)
(98.0,135.421875,2.163)
(98.0,136.421875,0.9490000000000001)
(98.0,153.4375,2.164428571428571)
(98.0,153.5625,2.0457142857142854)
(98.0,154.1875,2.209)
(98.0,292.078125,3.013666666666667)
(98.0,292.203125,2.7857999999999996)
(98.0,337.09375,3.4259999999999997)
(98.0,337.21875,3.0727499999999996)
(98.0,337.34375,2.8569999999999998)
(98.0,338.34375,3.407)
(98.0,355.34375,4.025352941176472)
(98.0,355.46875,3.5310000000000006)
(98.0,355.59375,3.3200000000000003)
(99.0,30.109375,7.454)
(99.0,30.609375,2.875)
(99.0,30.734375,2.7358235294117645)
(99.0,30.859375,2.615)
(99.0,31.734375,5.4825)
(99.0,75.0625,1.844)
(99.0,75.1875,1.597)
(99.0,75.3125,1.6124285714285713)
(99.0,75.4375,1.556)
(99.0,75.5625,1.685)
(99.0,109.875,2.3906666666666667)
(99.0,110.0,2.1828461538461537)
(99.0,110.125,2.1496666666666666)
(99.0,110.75,2.359)
(99.0,153.875,2.1720769230769226)
(99.0,154.0,2.045857142857143)
(99.0,154.125,2.001)
(99.0,154.625,2.203)
(99.0,188.421875,3.8852857142857142)
(99.0,188.546875,3.660619047619048)
(99.0,188.671875,3.1639999999999997)
(99.0,267.3125,4.670999999999999)
(99.0,267.4375,4.1637272727272725)
(99.0,267.5625,3.5435)
(99.0,267.6875,3.197857142857143)
(99.0,312.03125,2.7308125000000008)
(99.0,355.546875,4.083374999999999)
(99.0,355.671875,3.548866666666667)
(99.0,355.796875,3.291)
(100.0,56.53125,2.8230000000000004)
(100.0,56.65625,2.7654285714285716)
(100.0,57.15625,1.858)
(100.0,57.65625,1.883)
(100.0,74.9375,1.871)
(100.0,75.0625,1.8502000000000003)
(100.0,75.1875,1.681)
(100.0,75.3125,1.6130000000000002)
(100.0,75.4375,1.519)
(100.0,75.5625,1.881)
(100.0,135.78125,2.1536666666666666)
(100.0,135.90625,2.0595000000000003)
(100.0,136.03125,1.9956666666666667)
(100.0,136.53125,2.201)
(100.0,138.53125,0.9470000000000001)
(100.0,153.765625,2.1660909090909093)
(100.0,153.890625,2.049235294117647)
(100.0,154.515625,2.203)
(100.0,258.46875,4.554)
(100.0,258.59375,4.268238095238094)
(100.0,258.71875,3.647666666666666)
(100.0,266.703125,4.551666666666667)
(100.0,266.828125,4.185)
(100.0,266.953125,3.5615)
(100.0,267.078125,3.2307142857142854)
(100.0,337.8125,3.4364999999999997)
(100.0,337.9375,3.0269999999999992)
(100.0,338.0625,2.843)
(100.0,339.0625,3.323)
(100.0,355.59375,4.11588888888889)
(100.0,355.71875,3.524333333333333)
(100.0,355.84375,3.3209999999999997)
(101.0,30.015625,7.991846153846154)
(101.0,30.140625,6.8138000000000005)
(101.0,30.640625,6.307)
(101.0,75.34375,1.739)
(101.0,75.46875,1.6960000000000002)
(101.0,75.59375,1.633)
(101.0,75.84375,1.521)
(101.0,109.84375,2.356)
(101.0,109.96875,2.193588235294118)
(101.0,110.09375,2.0749999999999997)
(101.0,110.71875,2.363)
(101.0,154.015625,2.233)
(101.0,154.140625,2.153)
(101.0,154.265625,2.051117647058823)
(101.0,154.890625,2.213)
(101.0,188.3125,3.7685)
(101.0,188.4375,3.6713478260869565)
(101.0,188.5625,3.1838)
(101.0,267.25,4.196571428571429)
(101.0,267.375,3.499333333333333)
(101.0,267.5,3.2099999999999995)
(101.0,312.046875,2.731062500000001)
(101.0,355.8125,4.192647058823529)
(101.0,355.9375,3.5873333333333335)
(101.0,356.0625,3.3190000000000004)
(102.0,55.015625,7.981)
(102.0,55.140625,6.8563333333333345)
(102.0,55.640625,2.9755)
(102.0,55.765625,2.976)
(102.0,56.265625,1.699)
(102.0,56.390625,1.731)
(102.0,56.765625,6.2635000000000005)
(102.0,74.484375,1.7654)
(102.0,74.609375,1.7573999999999999)
(102.0,74.734375,1.752)
(102.0,74.984375,1.638)
(102.0,134.484375,2.151)
(102.0,134.734375,2.1845)
(102.0,134.859375,2.0019090909090913)
(102.0,134.984375,2.0396666666666667)
(102.0,135.484375,2.209)
(102.0,136.359375,0.967)
(102.0,136.484375,0.963)
(102.0,136.859375,0.971)
(102.0,137.484375,0.943)
(102.0,153.171875,2.1814999999999998)
(102.0,153.296875,2.038333333333333)
(102.0,153.921875,2.225)
(102.0,155.921875,0.943)
(102.0,257.75,4.449)
(102.0,257.875,4.19291304347826)
(102.0,258.0,3.6662500000000002)
(102.0,265.734375,4.2300666666666675)
(102.0,265.859375,3.5538333333333334)
(102.0,265.984375,3.220999999999999)
(102.0,336.96875,3.4226666666666667)
(102.0,337.09375,3.061470588235294)
(102.0,337.21875,2.848714285714286)
(102.0,338.21875,3.409)
(102.0,355.078125,4.240647058823529)
(102.0,355.203125,3.539666666666666)
(102.0,355.328125,3.3416666666666663)
(103.0,29.078125,7.863923076923077)
(103.0,29.203125,7.520368421052631)
(103.0,74.546875,2.04)
(103.0,74.671875,1.781)
(103.0,74.796875,1.732777777777778)
(103.0,75.171875,1.76)
(103.0,108.859375,2.4242)
(103.0,108.984375,2.206285714285714)
(103.0,109.109375,2.1556666666666664)
(103.0,109.734375,2.333)
(103.0,153.421875,2.1525000000000003)
(103.0,153.546875,2.044777777777778)
(103.0,154.171875,2.221)
(103.0,156.171875,0.955)
(103.0,187.34375,3.773)
(103.0,187.46875,3.63609090909091)
(103.0,187.59375,3.1875714285714287)
(103.0,231.90625,3.862)
(103.0,232.03125,3.5437857142857148)
(103.0,311.21875,2.730125)
(103.0,355.09375,4.555)
(103.0,355.21875,4.303857142857142)
(103.0,355.34375,3.555)
(103.0,355.46875,3.3)
(104.0,55.484375,7.9192857142857145)
(104.0,55.609375,6.936333333333334)
(104.0,57.234375,5.888)
(104.0,74.84375,1.9496666666666667)
(104.0,74.96875,1.8054)
(104.0,75.09375,1.7750000000000001)
(104.0,75.21875,1.809)
(104.0,75.46875,1.8940000000000001)
(104.0,135.34375,2.1550000000000002)
(104.0,135.46875,2.0225999999999997)
(104.0,135.59375,1.9260000000000002)
(104.0,136.09375,2.181)
(104.0,136.84375,0.975)
(104.0,136.96875,0.971)
(104.0,138.09375,0.967)
(104.0,153.625,2.1566)
(104.0,153.75,2.0281249999999997)
(104.0,154.375,2.213)
(104.0,156.375,0.967)
(104.0,258.359375,4.142916666666666)
(104.0,258.484375,3.6285000000000003)
(104.0,266.4375,4.190857142857143)
(104.0,266.5625,3.529461538461539)
(104.0,266.6875,3.2002)
(104.0,337.46875,3.4535714285714287)
(104.0,337.59375,3.0660000000000003)
(104.0,337.71875,2.8481428571428573)
(104.0,338.71875,3.323)
(104.0,355.46875,4.702333333333333)
(104.0,355.59375,4.278333333333333)
(104.0,355.71875,3.526000000000001)
(104.0,355.84375,3.3280000000000003)
(105.0,29.03125,7.746857142857144)
(105.0,29.15625,7.4735555555555555)
(105.0,74.59375,1.9701999999999997)
(105.0,74.71875,1.82)
(105.0,74.84375,1.821)
(105.0,75.21875,1.889)
(105.0,108.75,2.356142857142857)
(105.0,108.875,2.2008823529411763)
(105.0,109.625,2.4379999999999997)
(105.0,153.265625,2.131)
(105.0,153.390625,2.1594)
(105.0,153.515625,2.054555555555556)
(105.0,153.640625,2.0020000000000002)
(105.0,154.140625,2.213)
(105.0,156.140625,0.969)
(105.0,187.265625,3.8694)
(105.0,187.390625,3.620904761904762)
(105.0,187.515625,3.1453999999999995)
(105.0,187.640625,3.065)
(105.0,231.828125,3.779)
(105.0,231.953125,3.5199285714285713)
(105.0,232.078125,3.363666666666667)
(105.0,311.15625,2.729375)
(105.0,355.125,4.792199999999999)
(105.0,355.25,4.226666666666667)
(105.0,355.375,3.549142857142857)
(105.0,355.5,3.285)
(106.0,55.75,7.399)
(106.0,55.875,6.897222222222222)
(106.0,57.5,6.862333333333333)
(106.0,74.890625,1.9632857142857143)
(106.0,75.015625,1.8703333333333336)
(106.0,75.515625,1.8940000000000001)
(106.0,135.453125,2.173)
(106.0,135.578125,2.1206666666666667)
(106.0,135.703125,2.077)
(106.0,135.828125,1.928)
(106.0,136.328125,2.223)
(106.0,137.578125,0.969)
(106.0,138.328125,0.971)
(106.0,153.734375,2.14925)
(106.0,153.859375,2.043625)
(106.0,153.984375,2.007)
(106.0,154.484375,2.223)
(106.0,156.484375,0.979)
(106.0,258.46875,4.114391304347827)
(106.0,258.59375,3.639)
(106.0,266.625,4.196538461538461)
(106.0,266.75,3.534538461538461)
(106.0,266.875,3.2406666666666664)
(106.0,337.625,3.468428571428571)
(106.0,337.75,3.0342222222222226)
(106.0,337.875,2.879)
(106.0,338.875,3.325)
(106.0,355.421875,4.863)
(106.0,355.546875,4.239307692307691)
(106.0,355.671875,3.500142857142857)
(107.0,29.0,7.436999999999999)
(107.0,29.125,7.605571428571429)
(107.0,29.25,4.960999999999999)
(107.0,74.875,1.9825555555555556)
(107.0,75.0,2.013)
(107.0,108.640625,2.3814)
(107.0,108.765625,2.1975000000000002)
(107.0,108.890625,2.149)
(107.0,109.515625,2.343)
(107.0,153.5,2.115)
(107.0,153.625,2.208142857142857)
(107.0,153.75,2.0394210526315786)
(107.0,153.875,2.005)
(107.0,154.375,2.215)
(107.0,187.0,4.014333333333333)
(107.0,187.125,3.6539230769230775)
(107.0,187.25,3.14)
(107.0,187.375,2.977)
(107.0,232.125,3.5005)
(107.0,232.25,3.33575)
(107.0,311.203125,2.7298125000000004)
(107.0,355.5,4.971400000000001)
(107.0,355.625,4.274666666666666)
(107.0,355.75,3.546285714285714)
(107.0,355.875,3.259)
(108.0,29.71875,7.482333333333333)
